easy_aetal;nameA;nameA1;nameB;nameB1;nameC;nameC1;nameD
NULL;NULL;NULL;A. V. Melechko, T. E. McKnight, M. A. Guillorn, V. I. Merkulov, B. Ilic, J. J. Doktycz, D. H. Lowndes, M. L. Simpson, ;V. Melechko, A. Guillorn, I. Merkulov, B. Ilic, J. Doktycz, H. Lowndes, L. Simpson, ;NULL;NULL;NULL
NULL;NULL;NULL;A.K. Srivastava, Y. Sun, J.L. Zyskind, J.W. Sulhoff, WDM Transmission System, ;K. Srivastava, Y. Sun, L. Zyskind, W. Sulhoff, ;NULL;NULL;WDM Transmission System, Photonics Technology Letters, 
NULL;NULL;NULL;NULL;NULL;NULL;NULL;AACC Method Manual, Assoc Cereal Chem, 
NULL;NULL;NULL;IBM Technical Disclosure Bulletin, ;NULL;NULL;NULL;Technical Disclosure Bulletin, 
NULL;Hepatitis C Virus NS, ;Hepatitis C Virus, ;C Virus , ;C Virus, ;Hepatitis C , ;NULL;Interferon Plus Ribavirin, 
NULL;NULL;NULL;J. Neurosurg, ;J. Neurosurg, ;NULL;NULL;NULL
ABE ;NULL;NULL;J. VIROL , ;J. VIROL, ;NULL;NULL;NULL
Abe, T., ;NULL;NULL;FZ Silicon Crystals, ;NULL;NULL;NULL;Silicon Crystals, 
Abe, T., ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Abe, T., ;NULL;NULL;CZ Silicon Crystals, ;NULL;NULL;NULL;Silicon Crystals, 
Abe, T., ;NULL;NULL;NULL;NULL;NULL;NULL;Zoned Silicon Crystals, 
Abe, T., ;NULL;NULL;NULL;NULL;NULL;NULL;Silicon Crystals, 
NULL;NULL;NULL;NULL;NULL;NULL;NULL;Electrochemical Society Proceedings, 
Abeln ;NULL;NULL;NULL;NULL;NULL;NULL;Solid State Lasers, LAMBDA Highlights, LAMBDA Physik, 
Abhijit Bandyopadhyay ;NULL;NULL;NULL;NULL;NULL;NULL;Gel Technique, Rubber Division, 
Ablordeppey ;C NMR Assignments , ;NULL;H NMR , C NMR Assignments , ;H NMR, C NMR, ;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;Fluid Line Technology, 
NULL;NULL;NULL;NULL;NULL;NULL;NULL;Abraham Ulman, Assembled Monolayers, 
Abremski, K. ;Site-Specific DNA Topoisomerase Activity , ;NULL;DNA Topoisomerase Activity , J. Biol, ;J. Biol, ;Site-Specific DNA , ;NULL;Cre Recombination Protein, 
Abrignani ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
in Human Gliomas Nobori, ;NULL;NULL;NULL;NULL;NULL;NULL;Human Gliomas Nobori, Cancer Research, 
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;Pierre Bonhote, Michael Gratzel, Lorenz Walder, Extended Abstracts, 
NULL;NULL;NULL;NULL;NULL;Derwent WPI, ;NULL;Derwent WPI, 
NULL;NULL;NULL;NULL;NULL;Derwent WPI, ;NULL;Derwent WPI, 
NULL;NULL;NULL;NULL;NULL;Polish Patent P, ;NULL;NULL
NULL;NULL;NULL;NULL;NULL;Polish Patent P, ;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;NULL;Pharmaceutical Research, 
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
